"id","shopName","category","phone","website","address","rating","reviews","siteStatus","status","ownerName","email","techStack","opportunity","mapsUrl","dateAdded"
"lead_lead_1787743439076_10","S.boutique","Women's clothing store","Not Found","None","
V9C9+C5H, Side Rd, Phase 2 Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/S.boutique/@24.8706005,67.3558781,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb3333aa624d925:0xcca11f2ee037ee63!8m2!3d24.87106!4d67.3679951!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSARV3b21lbnNfY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11cnc4htqn?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_11","Dubai cloth","Women's clothing store","+92 315 2967443","None","
V993+HF9, Gulshan-e-Hadeed Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Dubai+cloth/@24.8706005,67.3558781,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333007bb94e0d:0x8ebf40ffd2113cd1!8m2!3d24.8689168!4d67.3537305!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSARV3b21lbnNfY2xvdGhpbmdfc3RvcmWaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjA1ZVdKdVJtbGlNMDVwWWtWNE1FMHlOVlJqVkZKeVVsZG9RMlJyUlJBQuABAPoBBAgAEC0!16s%2Fg%2F11x_4wclsm?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743445082_12","Aruumaah ( The Origin of Fashion )","Clothing store","+92 330 1247933","https://www.aruumaah.pk/","
Gulshan e hadeed Bin Qasim Karachi Phase 2, Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, 75050, Pakistan","N/A","0","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & Hosting Restoration","https://www.google.com/maps/place/Aruumaah+(+The+Origin+of+Fashion+)/@24.8689168,67.3447183,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0xa0b01943b19068e7:0x754f77c6b6836d30!8m2!3d24.8751964!4d67.3641581!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycFdiR1ZxVGpGVmVtaHhXbTB4TmxVd2FIZFRhMVV4Vlc1a2QxUklZeEFC4AEA-gEECAAQOg!16s%2Fg%2F11wty04xzz?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743441005_13","Chase Up Mini - Gulshan-e-Hadeed","Hypermarket","+92 21 38909936","http://www.chaseupgrocery.com/","
Gulshan-e-Hadeed Phase 2 Extension, Side Rd, Gulshan-e-Hadeed Gulshan e Hadeed Phase 3 Bin Qasim Town, Karachi, Pakistan","N/A","0","Insecure (HTTP)","New","Not Listed","Not Found","React/Next.js","SSL Migration & Security Upgrade","https://www.google.com/maps/place/Chase+Up+Mini+-+Gulshan-e-Hadeed/@24.8681787,67.3416013,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb33308170d32ad:0x9fadfe2e5faee5be!8m2!3d24.866355!4d67.3574114!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQtoeXBlcm1hcmtldOABAA!16s%2Fg%2F11pdk3r9f1?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_14","The Student Mart","Uniform store","+92 21 34716633","None","
B 115, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/The+Student+Mart/@24.8681787,67.3416013,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb3331b549e9b6b:0xfb4dd420b1881f23!8m2!3d24.8642767!4d67.350337!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ11bmlmb3JtX3N0b3Jl4AEA!16s%2Fg%2F11fk26qm1w?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439916_15","Dressy Idea","Clothing store","+92 314 8097568","https://www.facebook.com/Dressy.Idea","
A-2173, Phase 2 Gulshan e Hadeed Phase 3 Bin Qasim Town, Karachi, 75010, Pakistan","N/A","0","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & Hosting Restoration","https://www.google.com/maps/place/Dressy+Idea/@24.8642767,67.3413248,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333de334c8585:0xc5bd8f3089cfcd1b!8m2!3d24.8743238!4d67.3640843!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11sqsc8p48?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439628_16","Memon Fancy Shopping Center","Fabric store","+92 313 1167800","http://www.memonfancy.com/","
Near 1, Commercial Market, 2 A-431 Badar Road, Gulshan-e-Hadeed Phase 1 Bin Qasim Town, Karachi, 75010, Pakistan","N/A","0","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & Hosting Restoration","https://www.google.com/maps/place/Memon+Fancy+Shopping+Center/@24.8642767,67.3413248,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb33317434851a1:0x412ba9ba2a75f1f8!8m2!3d24.868542!4d67.3514787!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQxmYWJyaWNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkNOM1V0ZG1ObkVBReABAPoBBAgAEEk!16s%2Fg%2F11g9gn2q9d?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_17","Galaxy Wholesale Point","Women's clothing store","Not Found","None","
Plot A 1582, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Galaxy+Wholesale+Point/@24.8743238,67.3550721,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb333721eeb5bc5:0xeb661e3dbfc3b6a1!8m2!3d24.8692551!4d67.3504092!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEVd29tZW5zX2Nsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11khs37vpm?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_18","Sohail Peko Centre","Clothing store","+92 313 1167800","None","
Phase 2 Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Sohail+Peko+Centre/@24.8746875,67.3554253,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb333f942b7cc33:0x5fc5bef96687e726!8m2!3d24.8746875!4d67.3644375!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11r4p_qjkg?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743441798_19","Eazyby.shop","Women's clothing store","+92 310 2207789","https://eazyby.shop/","
Gulshan-e-Hadeed Phase 1 Bin Qasim Town, Karachi, 75010, Pakistan","N/A","0","Outdated Site","New","Not Listed","Not Found","WordPress, Elementor","Modern Website Redesign & UI Upgrade","https://www.google.com/maps/place/Eazyby.shop/@24.8642767,67.3413248,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb3333ee1685d81:0x6c2e99f194414b3b!8m2!3d24.8660554!4d67.354699!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEVd29tZW5zX2Nsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11zd8mydyf?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_20","Abro Fashion","Clothing store","Not Found","None","
Plot A 2093, Phase, 2, Gulshan-e-Hadeed Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Abro+Fashion/@24.8746875,67.3554253,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb333265305112f:0x4d7f8068dd285174!8m2!3d24.8745736!4d67.3646047!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11k9_mps_0?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_21","Meezab Garaments","Clothing store","Not Found","None","
V992+V4F, Bata Moor Road, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Meezab+Garaments/@24.8692551,67.341397,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb33300732877a3:0x58a851cfa4c4b450!8m2!3d24.869677!4d67.350293!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11nbw8rr_b?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_22","Ferio Clothing Official","Women's clothing store","+92 318 2806575","None","
Phase 2 Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, 75010, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Ferio+Clothing+Official/@24.8746875,67.3554253,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb333b2441609b7:0x8a8b3f3e147e9d9f!8m2!3d24.8743644!4d67.3637834!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEVd29tZW5zX2Nsb3RoaW5nX3N0b3Jl4AEA!16s%2Fg%2F11tbz4824r?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743440039_23","Ecochic","Clothing store","+92 334 3262444","http://www.ecochic.pk/","
V982+W88, A-1757, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Inaccessible / Down","New","Not Listed","Not Found","Unknown","Website Rebuild & Hosting Restoration","https://www.google.com/maps/place/Ecochic/@24.8746875,67.3554253,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb3330005ce371d:0x7b22217cb75b7849!8m2!3d24.8673755!4d67.3508839!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWWFXSnBkbmhSUlJBQuABAPoBBAhiEDk!16s%2Fg%2F11ltvg7mrg?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_24","Al-Makka Cloth shop","Clothing store","+92 334 3245164","None","
Shop #2 Imran Siyal Rd, Sandila Colony Phase 1 Bin Qasim Town, Karachi, 75010, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Al-Makka+Cloth+shop/@24.8673755,67.3418717,16z/data=!4m11!1m3!2m2!1sclothing+in+gulshan+e+hadeed!6e6!3m6!1s0x3eb3331777ac560b:0xc5a6a22a209be3c1!8m2!3d24.8688211!4d67.3531649!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11gd8_nwkd?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
